Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M13.12,Inflammation,55,"1684585, 1708934, 1681301, 1701603, 1694548, 1685824, 1765880, 1762713, 1761566, 1695157, 1716815, 2371724, 1808979, 1679826, 1663119, 1810420, 1709233, 2176063, 2391051, 1730454, 2230862, 2144426, 1768973, 1670302, 2092850, 1889841, 1913678, 1781700, 1721762, 1774874, 1661695, 1675756, 1701837, 2357419, 1660624, 1806293, 2126706, 1767377, 1683250, 1801254, 1679620, 1796316, 1796976, 2186061, 2075051, 1775257, 1663422, 1748915, 1740298, 1732923, 2050911, 1685057, 1755843, 1722981, 1785732, 1674574, 1678494","ACSL1, ADM, AIM2, ALPL, ANXA3, B4GALT5, C16ORF57, C19ORF59, C5ORF32, CA4, CEACAM1, CEACAM1, CLEC4D, CST7, DSC2, DYSF, F5, FCGR1A, FCGR1B, FOLR3, GYG1, HIST2H2AA3, HIST2H2AC, HK3, HPSE, HS.150808, HS.407903, IL18R1, IL18RAP, IL1RN, IRAK3, KCNJ15, KLHL2, LILRA5, LIMK2, LIN7A, LMNB1, LOC153561, LOC440731, LOC648984, LOC728519, MMP9, NLRC4, PFKFB3, PGS1, PROK2, RGL4, S100A12, SIGLEC5, SIPA1L2, SLC22A4, SLC22A4, SLC26A8, TLR5, TNFAIP6, VNN1, ZNF438"
M13.13,Gene Transcription,58,"1708672, 1664449, 1685413, 2043816, 1764494, 1701269, 1810680, 2343010, 1786658, 1696708, 1801118, 1651987, 2101526, 1657547, 2341793, 1719256, 1761242, 1704477, 1749629, 1663751, 1747303, 1773742, 1651262, 2335718, 1751368, 2369682, 1803775, 2182198, 2205211, 1688127, 1702783, 1776260, 1764362, 1807074, 1726391, 1655765, 1718424, 2306565, 1737738, 2179018, 1787628, 2412549, 2365544, 2195236, 1805827, 2210129, 2387553, 1737396, 2109156, 1721457, 1716895, 1776586, 2128128, 1672006, 1727740, 1704873, 2056479, 1660111, 2130838, 1763129, 1674385","ACAT2, ALG5, ALG8, ARPC5L, ATP5A1, ATP5C1, BOLA2, BOLA3, BOLA3, C14ORF166, C16ORF33, C6ORF129, C7ORF24, CCDC34, CCT7, CKS1B, COMMD1, COX5A, CUL1, CYCSL1, DDX39, DNAJB9, HNRNPAB, HNRNPAB, HNRNPD, HNRPA2B1, HSPE1, ICT1, LOC134997, LOC341457, LOC652595, LOC653505, LYAR, MIF, MRPL39, MRPS21, MRPS28, MTX2, NDUFA12, NDUFAB1, NOL5A, NOLA1, NOLA2, PGRMC2, PPA1, PRIM1, PSMA3, PSMD14, RANBP1, RANBP1, RPA3, RPL26L1, SHFM1, SSB, SYNCRIP, TCEB1, TXNL2, UCHL3, UTP11L, XTP3TPA, YWHAQ"
M13.14,Proteolysis,72,"2380771, 1783304, 1759628, 1783333, 2386016, 2388155, 2073732, 1811264, 1715569, 1662318, 2232166, 1727389, 2122953, 1710326, 2352563, 2330112, 1690392, 2087528, 2225735, 1713482, 1781680, 1734231, 2185884, 2310589, 2356672, 1667043, 1779813, 1657797, 1670439, 1692276, 1806601, 1693826, 2395043, 1717165, 1720819, 2229242, 1654543, 1751956, 1677133, 2230672, 2097421, 1655377, 1811972, 1732216, 1728660, 1666761, 2366391, 1748908, 1759952, 1764794, 1768784, 1776173, 2170353, 1814726, 1698487, 1787680, 1689389, 1690706, 1663002, 1736054, 1803143, 1776347, 1777096, 2341815, 1679555, 1743655, 1798874, 1814650, 2323385, 1779014, 1692121, 1725121, 2228809, 1673138","AKR1A1, ATP1B3, ATP1B3, C16ORF61, C2ORF28, CASP3, CBLL1, CCDC32, CCDC53, CCDC59, CCDC90B, CDC16, CISD1, CLDND1, CLDND1, CNIH, COMMD3, CPSF3, CRBN, CWC15, DAP3, DDOST, DHRS4, DIABLO, EIF2B4, EIF4A3, FAM96B, FIBP, FYTTD1, GGPS1, GRSF1, HAVCR2, HSPA4, IGBP1, LOC653566, LSM3, MED6, MGST3, MITD1, MRPL18, MRPL51, MRPS22, MYCBP2, NARS, PMPCB, PPP2R5E, PRDX1, PROSC, PSMA5, PSMB2, PSMC2, PSMD7, PTPLB, SCARB2, SDHD, SELS, SF3B5, SNRPB2, STOML2, SUB1, SYVN1, TCP1, TDG, TFG, TIMM23, TMED9, TMEM85, TRAPPC4, TRIM4, TSPYL1, USO1, XPO1, YWHAG, ZBTB33"
M13.15,TBD,76,"1728662, 1710482, 1684873, 1756006, 1862018, 2152402, 1770030, 1774427, 2053921, 1709439, 2207393, 1812967, 2376289, 2313074, 1713301, 1656822, 1768773, 1651776, 1737170, 2041236, 1734153, 1805693, 1775762, 1701854, 1681802, 1738237, 1654566, 1700231, 1683277, 1654392, 1669433, 1803483, 1763884, 1796336, 1651788, 1793386, 1761912, 1745697, 1668960, 2165473, 1651767, 1671885, 1715968, 2087702, 1672547, 1678032, 1728224, 1716488, 2366634, 1709549, 1782385, 1659058, 1659888, 2330966, 1738675, 2329773, 2155480, 2207363, 1690610, 2406313, 1780057, 2406410, 1809437, 1808712, 1731991, 2415536, 1666482, 1651692, 1720623, 1765523, 1735788, 2402806, 1721636, 1683609, 2193591, 1688011, 1710427, 2087303","ALDH3B1, APLP2, ARSD, ATG2A, ATXN7L3, BAT5, C7ORF43, CALCOCO1, CAPZB, CHMP1A, CNOT3, CNPY3, DBNL, DEDD, DGCR2, DNM2, EGLN2, FHOD1, FLII, GARNL4, GDI1, GMIP, GNAI2, GNG5, GRK6, HS1BP3, HSPA1L, IHPK1, KIAA0319L, KIAA0323, KIAA0913, KIAA2013, MAGMAS, MAP1S, MAP3K11, MED12, MGAT1, MGRN1, MID1IP1, MID1IP1, MKL1, MLF2, MLL4, MYH9, MYO9B, NR1H2, OGFR, PACS1, PKM2, PLEKHM1, POLR2A, PPP1R10, PPP1R14B, PTK2B, PTPN6, RAB27A, RAB43, RABAC1, RALY, RBCK1, RENBP, RHBDD2, RHBDD2, RNF40, SCYL1, SIPA1, SP2, STK10, SYTL3, TOLLIP, TRIOBP, TRPC4AP, TSC22D4, UBE1, UNC93B1, UPF1, VPS37B, XKR8"
M13.16,Cytokines/chemokines,39,"2078697, 1715068, 1651826, 1737314, 1676895, 1778059, 1722158, 1742601, 1731714, 1798475, 1791253, 1797895, 2392569, 1725471, 2393296, 1750497, 1677693, 1765941, 1798977, 1815054, 1680397, 2396903, 1780334, 1791545, 2367671, 1670410, 1712999, 1700855, 1674590, 1776483, 1665540, 1805228, 1803984, 1792682, 1714643, 1653871, 1757361, 2205882, 1696187, 2112524, 2114720, 1772036, 1654560","ALPK1, AQP9, BASP1, BCL6, BTNL8, CASP4, CASP5, CR1, CREB5, CSF2RB, FBXL13, FFAR2, FPR2, GK, GK, GPR109A, GPR109B, GPR97, GPR97, GPR97, IL8RB, KCNJ15, KCNJ2, KRT23, LIMK2, LOC641710, LOC642103, LOC642684, LOC652578, LOC728417, LOC728417, LRG1, MAK, MCTP2, MGAM, NAMPT, NCF4, NSUN7, PYGL, RNF149, SLPI, STEAP4, TLR6"
M13.17,Interferon,31,"1671703, 2320964, 1776777, 2326509, 1732534, 2094166, 1784380, 1774077, 1845037, 1710937, 1801246, 1697710, 1745471, 2412214, 1762594, 2352121, 1769734, 2053527, 1776723, 2390162, 2376108, 1749722, 1814305, 2139100, 2284998, 1731418, 2415144, 1813455, 1672661, 1690921, 1751079, 1705241, 1736863, 1758250, 1678054, 1703108, 1729973, 1745148","ACTA2, ADAR, ADAR, CASP1, CHMP5, CHMP5, DTX3L, GBP2, HS.489254, IFI16, IFITM1, IL1F7, IRF9, LGALS9, NOD2, NT5C3, NT5C3, PARP9, PHF11, PHF11, PSMB9, RNF213, SAMD9, SHISA5, SP100, SP110, SP110, SP110, SP110, STAT2, TAP1, TDRD7, TMEM140, TRAFD1, TRIM21, UBE2L6, ZC3HAV1, ZNFX1"
M13.18,B-cell,88,"1663132, 1712298, 1678612, 1813091, 1804445, 1739749, 2155172, 1767642, 1703695, 1758806, 2215545, 1698677, 1659786, 1727284, 2077680, 1690386, 1806951, 1769135, 2091792, 1659725, 1667016, 2347748, 1741422, 1656145, 1666902, 1705570, 1743677, 1680453, 1748034, 1774800, 1748827, 1712347, 1703301, 1662417, 1805395, 1730986, 2385178, 2076658, 1714515, 1676026, 1764764, 1784040, 2208802, 1669788, 1652753, 2363058, 1667925, 1702806, 1728684, 1745806, 1755862, 1653438, 1773073, 2394250, 1662587, 1767219, 1770356, 1680341, 2348503, 2347234, 1789384, 2060770, 1810423, 2077623, 1658678, 1720513, 1682404, 1743103, 2142284, 1781479, 1688098, 2067709, 2052871, 1758173, 2405628, 1774083, 1805481, 1718907, 1790549, 1720965, 2113074, 1727184, 2088612, 1688853, 1702763, 1751692, 1695362, 1663160, 1677785, 1727574","ADCK2, ANKRD46, ANXA6, ARL1, ATF7IP2, B3GALT6, BXDC2, C11ORF46, C19ORF12, C21ORF2, C3ORF26, C4ORF27, CCDC76, CD4, CLDND2, CSRP2BP, CSTF3, DPP7, ENTPD6, EXOSC5, FAF1, FLJ12949, FUT8, GOT1, GPR114, H2AFY2, HNRNPU, ITM2C, KLHDC4, KTELC1, LOC388564, LOC644422, LOC653479, LRPPRC, LTBP3, MALT1, MIB2, MRPL1, MRPS12, MRPS26, MUM1, NAPSA, NPIP, NUDT14, PAAF1, PAOX, PDCL3, PDCL3, PELP1, PEMT, PFAS, PHF14, PHYH, PLEKHA1, PNPLA7, POLR1C, POLRMT, PPIE, PPIE, PRMT1, QSOX2, RAI1, RPP40, RRAS2, SAAL1, SETBP1, SETMAR, SH3PXD2A, SLC25A43, SUV39H1, TBC1D4, TFB2M, TMEM116, TMEM99, TOP1MT, TRIAP1, TRMT11, TSHZ1, TSPAN3, TULP4, UFM1, WDR36, XPO4, ZBTB9, ZMYM1, ZNF17, ZNF32, ZNF337, ZNF559, ZNF827"
M13.19,TBD,63,"1757106, 1752247, 1698968, 1727996, 1701216, 1658327, 1740165, 1802799, 1670263, 2195821, 2367469, 2261784, 1742400, 1680109, 1810719, 1653266, 2415898, 1806304, 1744665, 1714418, 1670532, 1748797, 1816713, 1841334, 1880521, 1791057, 2090397, 1742332, 1745620, 2384807, 1726547, 2413572, 1713156, 1675130, 1765829, 2405602, 1653793, 1770433, 2297710, 1697652, 1800855, 1659854, 1748578, 1805778, 2411963, 1810559, 1721842, 1724495, 2366703, 1808374, 1695468, 1758087, 2390821, 1731043, 2204754, 1736939, 2360291, 1739283, 1723536, 1731113, 1784577, 2143822, 1683127, 1731666, 1744471","MARCH6, AKAP13, ASXL2, BAG4, BANP, BAZ1A, C14ORF102, C1ORF108, C1ORF71, C5ORF41, CARS, CCNY, CEP350, COL4A3BP, DCUN1D1, DNAJB14, DNAJB14, ENTPD4, EP300, FAM101B, GMCL1, GRB2, HS.440088, HS.516646, HS.573541, IFNAR2, ISG20L2, KCTD12, KRCC1, LRRCC1, MAP3K5, MARK2, MSL3L1, NFIC, NUFIP2, OSBPL1A, PDPK1, PIK3CG, PLEKHB2, PLEKHB2, PPTC7, PRPF40A, RAD21, RBM12B, RBM39, RHOQ, RYBP, SESTD1, SGK3, SNTB2, SRPK2, TAOK1, THOC2, TRA2A, TXNDC13, UGCG, UGCGL1, UPF2, USP33, ZBTB43, ZNF12, ZNF148, ZNF281, ZNF641, ZNF654"
M13.20,Cell Cycle,47,"1801464, 2059844, 1690443, 1686662, 1717371, 1761963, 2362681, 1690880, 1652533, 1651499, 1775444, 2260756, 1916292, 1824362, 1855278, 1903914, 1898453, 1879066, 1840920, 1911503, 1850677, 1853438, 1880280, 1818346, 1859207, 1902251, 1835631, 1745841, 1731203, 1767263, 1657398, 1723909, 1669657, 1671992, 1814812, 1659490, 1824898, 1780496, 1652929, 1734991, 2213834, 2363027, 2414436, 1709164, 1763739, 2282477, 1679083","ANKFY1, ANKRD44, C14ORF82, C15ORF28, C22ORF34, C4ORF29, CES2, CTAGE5, DKFZP434K191, ERGIC1, FLJ12078, GSDML, HS.131087, HS.143018, HS.184721, HS.193767, HS.22689, HS.352677, HS.370503, HS.443185, HS.540965, HS.545935, HS.549989, HS.550293, HS.551143, HS.570343, HS.574671, KIAA0492, KIAA1618, LOC158301, LOC284757, LOC402176, LOC440345, LOC650128, LOC650546, LOC653158, LOC728653, MGC12760, POGZ, PPM1B, PRO0628, RAD51, RBM3, RUNDC2C, SOLH, TFAP2A, ZNF93"
M13.21,Cytotoxic lymphocytes,23,"1749081, 1768482, 2353732, 1794364, 1745788, 1781824, 1779071, 1692464, 1690420, 2256295, 2207291, 1772821, 1658399, 1813338, 2319000, 1660462, 2282282, 2193325, 1788538, 2343097, 1797776, 1669447, 1742026, 2395981, 2343618, 2258816, 1755415, 1659158, 2336609, 1682929, 1723944","AUTS2, CD8A, CD8A, CTSW, CX3CR1, FASLG, FEZ1, FLJ20699, GFI1, GNLY, IFNG, KIAA1671, KLRG1, LAG3, MATK, MCOLN2, MLH3, MMP23B, NCALD, NCALD, PRSS23, PYHIN1, PYHIN1, PYHIN1, SAMD3, SAMD3, SAMD3, SAMD3, SYTL2, SYTL2, TARP"
M13.22,Inflammation,65,"1683598, 1708348, 1718071, 1801710, 1710514, 1781580, 1733288, 1689836, 2148847, 1785268, 1714592, 1791576, 1703074, 1688158, 1692742, 1781285, 2225144, 2289849, 1666932, 1728639, 1795158, 1689046, 2092118, 2370872, 1791771, 1789074, 1752923, 1662524, 2094061, 2226917, 1752927, 1805192, 1659753, 2326953, 1713934, 1724822, 2072598, 1809173, 1719344, 1724533, 1739641, 2201966, 2335704, 1711786, 1716105, 1782070, 2149494, 1705114, 2058795, 2345512, 1660364, 1676358, 1656934, 2339748, 1665877, 1717809, 1750101, 2363586, 1719661, 1741165, 2336781, 2060115, 2392043, 1696463, 1798804, 1720771, 1803811, 1678939","ACSL4, ADAM8, AGTPBP1, APBB1IP, BCL3, BRI3, C1RL, C5AR1, C6ORF166, CD58, CDA, CHSY1, CPD, CYB5R4, DENND3, DUSP1, EIF4E3, FCGR2A, FCGR2A, FCGR3B, FGR, FLJ20273, FPR1, GRINA, HCK, HSPA1A, IFNAR1, IL8RA, IMPA2, KIAA0247, KIAA1600, KIAA1754, LAMP2, LAT2, LITAF, LOC399744, LOC401357, LOC729021, LOC730820, LY96, MTMR3, N4BP1, NCF4, NFE2, NLRP12, NPL, NPL, NUMB, PGCP, PPP4R1, PSCD4, RALB, REPS2, RNF13, RNF149, RNF24, S100A11, SDCBP, SEPX1, SLC11A1, SOD2, SORL1, SPI1, SPI1, SRPK1, STX11, TRIB1, VNN2"
M13.23,TBD,79,"1705247, 1787378, 2185563, 1661833, 1743829, 1775192, 1676842, 1703288, 1789436, 1755909, 1741475, 1694491, 2050617, 2388975, 1767475, 1762972, 2331205, 1700507, 1745076, 1738642, 2299072, 2209578, 1716922, 1687430, 1772644, 1727041, 1697735, 2410038, 1752249, 1713756, 1715113, 1767747, 1788017, 1715496, 1682572, 1803254, 2183938, 1746917, 1805161, 1784766, 1749011, 1728779, 1735827, 1689747, 1680129, 1698406, 1706376, 2042595, 1653220, 1694213, 1721703, 1756669, 1795678, 1715392, 1795930, 1725312, 1728907, 2382354, 1779171, 2395204, 2330861, 1779185, 2055634, 1794677, 1710078, 1730999, 2049536, 2124187, 2389970, 1768930, 1784410, 1670472, 1778238, 1768480, 2376625, 2096405, 1790807, 1669015, 2093500, 1667068, 2068435","ACSL5, ADD3, ANKRA2, ANKRD12, ATXN2, BCLAF1, BTAF1, C19ORF6, C1ORF218, C20ORF11, C7ORF47, CCNG1, CCT6AP1, CERK, CERK, CHD9, CHKB, CLASP1, CLINT1, CMPK1, CROP, CTGLF3, DHX16, EIF2B4, EML3, EWSR1, EWSR1, FAM111A, FAM38A, GLUD1, HARS2, HDAC2, HSH2D, HTR2A, KIAA0528, KIAA2010, LEMD3, LOC729843, LZTR1, MCM3AP, NECAP2, NGLY1, NISCH, NOL8, NSUN2, ORMDL1, OSBP, PCM1, PITPNM1, PLEKHO1, PNN, POGK, POLR3C, PRPF3, PTGER4, RASA1, SCAMP1, SENP7, SGSM2, SLTM, SMC4, SPECC1L, TIAF1, TMC6, TMEM181, TPR, TRPV2, TSC22D2, TSPAN32, U2AF2, UBP1, UBXD8, UTP6, VGLL4, VHL, WDR37, XPC, XPNPEP1, ZBED5, ZC3HAV1, ZNF700"
M13.24,TBD,70,"2389013, 1722102, 1732615, 1772506, 1727332, 1652722, 1797828, 1811555, 1683175, 1724145, 1696675, 1797530, 1752802, 2096654, 1808821, 1756898, 1773018, 1738718, 1661599, 2402674, 1741780, 1738326, 1787410, 2359456, 2121207, 1708143, 1733377, 1663379, 1784709, 2173451, 1742166, 2072091, 1725169, 1660844, 2130411, 1655694, 1692072, 1756352, 1727073, 1676799, 1702065, 1722905, 1675239, 1789186, 2257665, 2112402, 1691291, 1738759, 1694111, 1803772, 1777794, 2318811, 2375599, 1780825, 1801504, 1794230, 1697286, 1684446, 1785660, 1715705, 1756126, 2157421, 1672571, 1765851, 1775074, 1671191, 1711166, 1734316, 2061732, 1761844, 2197030","ADRM1, ANAPC11, ASMTL, ATP5I, ATPIF1, C14ORF2, C20ORF116, C9ORF119, C9ORF23, CBX4, CES2, CHCHD5, CLPTM1L, COMMD4, COMMD9, COQ9, CUEDC2, CYB561D2, DDIT4, DPM3, DUSP28, EIF4E2, EIF6, ERGIC3, FAM125A, FAM127A, FASTKD5, FBXL15, GNPDA1, GPI, GRWD1, HNRNPUL2, INTS12, INTS4, KDELR1, LOC642031, LOC728006, MAPBPIP, MEA1, MFAP1, MFSD5, MRPS11, NDUFA7, OBFC1, PARL, PHF5A, PIGS, PIGT, PNKP, POLD4, PRKCSH, RANBP3, RNH1, RRAS, RUNX1, SCAND1, SF3A1, SPAG7, SRPR, SSNA1, STUB1, STUB1, TFIP11, TRADD, TUBGCP2, UQCRC1, WDR8, YME1L1, YRDC, ZCCHC17, ZFYVE21"
M13.25,TBD,79,"1748546, 1717337, 1806408, 2409167, 2120273, 2208413, 1769566, 1656682, 2049727, 2090558, 1810759, 1653797, 2307740, 1763265, 1679727, 1809583, 2155228, 1669905, 1780058, 2180352, 1788931, 1691559, 2174369, 1733579, 1689552, 1664826, 2365595, 1758906, 1755077, 1827736, 1832208, 1894072, 2094106, 1723467, 1764970, 1696127, 1796240, 1733176, 1733453, 2125747, 1804419, 1659415, 1789751, 2347068, 1791478, 1656111, 2095840, 1716547, 1739541, 2336982, 1784753, 1681304, 1708095, 1681845, 1798354, 1671621, 2387799, 1688702, 2214603, 1662617, 2173004, 1768197, 2117223, 1734895, 1808501, 1813491, 1782609, 1753547, 1785765, 2141941, 1746704, 1748124, 1747146, 1680770, 1789233, 2374692, 1668417, 1809086, 1711069, 1728512, 1755303, 1656676","ACADVL, ANXA2, AP1S2, ARHGAP15, ATG3, AZIN1, C20ORF111, C2ORF25, C2ORF25, C6ORF62, CD46, CHMP1B, CLK1, CREBBP, CRLF3, DCP2, DEGS1, DIP2B, DOCK8, ELF2, ELOVL5, EVI2A, FAM63A, FBXO33, GMPR2, GNA13, HEBP2, HS.296031, HS.348514, HS.561747, HSD17B12, ITGB1, JMJD1C, KIAA0240, KIAA1012, LIMS1, LOC284988, LOC606724, LRMP, MAP2K1IP1, MARCH7, MFSD1, MKNK2, MTPN, MYLIP, MYST3, NAGK, NMI, NPTN, PAIP2, PAN3, PANK2, PAPD4, PAPOLA, PCMT1, PDPK1, PJA2, PPP2R3C, PPP2R3C, RAB8B, ROD1, ROD1, SEPT2, SFT2D1, SH3KBP1, SPTLC1, STAG2, STAT5A, TM9SF2, TOR1AIP1, TRIM8, TSC22D3, TSG101, UBQLN2, VPS37C, WAC, WASPIP, XRN1, YPEL5, YWHAH, ZNF217, ZYG11B"
M13.26,TBD,40,"1815306, 1789005, 2299045, 2369580, 1808202, 1795419, 1697166, 2050023, 1680624, 2156267, 1723185, 1733863, 1712095, 1790228, 2046315, 1730575, 1749662, 1757467, 1765621, 2219556, 1715931, 2216582, 1713985, 1671583, 1731745, 2172174, 1815023, 1666924, 1787923, 1729142, 2367191, 2100458, 1663605, 1714461, 1778213, 1766657, 1747160, 1657983, 2116639, 2174884, 1791147","AP2A1, ATP6V0C, BMP2K, C16ORF35, C19ORF22, C2ORF24, C9ORF78, CCDC23, CREG1, EIF2AK1, ELOF1, FAM100A, FOXO4, FURIN, GABARAPL2, GCLC, GPX1, H1F0, HDGF, ISCA1, ISCA1, LYL1, MAF1, MKRN1, NINJ2, NP, PIM1, PINK1, PNPLA2, PRR6, PSMF1, RFESD, RNF123, RNF14, STK33, STOM, SYT15, TERF2IP, TFDP2, XPO7, YPEL3"
M13.27,B-cell,33,"2377669, 1676924, 2325837, 2261416, 1753112, 1746565, 1711573, 2415786, 1757872, 1775542, 1769383, 1844464, 1886655, 1862909, 1691341, 2355033, 1714444, 2315979, 1699991, 2213136, 2103919, 1731928, 2365111, 1662839, 1793549, 1688279, 1728298, 1705892, 1751400, 2335604, 1656287, 1765109, 1740493, 1684943, 2338348, 1719756, 2093775","CD247, CD247, CD3D, CD3D, CD5, CD6, CD96, CD96, DKFZP761P0423, FAIM3, GIMAP5, HS.534427, HS.554324, HS.560343, IL7R, KIAA1147, KLF12, LBH, LCK, LEF1, LRFN3, LY9, MAP4K1, PLEKHA1, PTPN4, PVRIG, SBK1, SH2D1A, SKAP1, SKAP1, SPOCK2, TNFRSF25, TRAF5, TRAT1, UBASH3A, ZAP70, ZNF831"
M13.28,Protein synthesis,29,"1810810, 1660376, 1704315, 1656962, 2046856, 1792528, 1664610, 1671217, 1683498, 1715926, 1687738, 1683597, 2167617, 2167616, 2114876, 1672446, 2319996, 1754303, 1663799, 2343775, 1765043, 1737015, 1690494, 2247594, 1755733, 1686954, 1740587, 2207533, 1784717, 1656625, 1746516, 2048326, 1738243, 1694742","EEF1A1, LOC387841, LOC389435, LOC401019, LOC401019, LOC401206, LOC402057, LOC440733, LOC441034, LOC642210, LOC650276, LOC652071, NACA, NACA, RPL11, RPL11, RPL3, RPL30, RPL32, RPL38, RPL38, RPL39, RPL6, RPLP1, RPLP2, RPS10, RPS11, RPS17, RPS19, RPS24, RPS25, RPS27A, RPS29, RPS29"
M13.29,TBD,65,"2392635, 2145396, 2393144, 2396982, 1669308, 1772527, 1667839, 1773780, 2097790, 1721225, 1738207, 2399328, 1764431, 1739558, 1795218, 2376408, 1740216, 2059886, 1804476, 2041577, 1748616, 1773964, 2311537, 2355971, 1804789, 1785756, 1815169, 1663068, 2282077, 1691090, 1760441, 1777528, 1791119, 2360028, 1724148, 1813846, 1814315, 2385866, 1698072, 1696713, 1715214, 1778360, 1800276, 2356031, 1776674, 1760890, 1692539, 1813671, 2105966, 1789001, 2358914, 1779399, 2327346, 1768488, 1791067, 2212714, 1719649, 1738704, 2129349, 2212354, 1676899, 1651438, 1780698, 1692620, 1745784","ABCF1, AKR7A3, ARL6IP4, BCL2L12, BRPF1, C12ORF44, C14ORF130, C16ORF24, C1ORF86, C20ORF4, CISH, COBRA1, COPS6, CRELD1, DHX30, DPM3, ERCC3, FLJ20699, GMPPA, GPR172A, GTF2F1, H1FX, HMGA1, HSD17B10, KIAA1967, LOC731314, MCM5, MGC33556, MIB2, MPV17, MRPS5, NCBP1, NDUFA10, NFATC3, ORAI1, P2RX4, PBXIP1, PHF1, PITRM1, POLA2, PTPN7, PYGB, RCN1, RNF121, SAC3D1, SEPN1, SH3BP1, SLC25A1, SLC35A4, SLC35B2, SLC35C2, SNRPA, SSBP4, TERF2, TESK1, TMEM39B, TMEM63A, TRIM26, TSSC1, WDR46, YEATS2, ZFPM1, ZFYVE19, ZNF263, ZNF324"
M13.30,Erythrocytes,29,"1709092, 2096322, 1775405, 1797793, 1689172, 1733581, 1680134, 2165975, 1782788, 1717063, 1658351, 1733947, 1778144, 1765208, 1750130, 1758398, 1668039, 1682332, 1772731, 2091454, 1696183, 2411658, 2267787, 1784678, 1721046, 1794780, 1743911, 1687857, 2413064, 2049417, 1653646, 1658624","ABCC13, ADIPOR1, ARL4A, BLVRB, BOAT, C16ORF35, CARM1, CES3, CSDA, FBXO9, FIS1, FKBP8, FLJ20489, GLUL, GSPT1, GUK1, GYPC, GYPC, HAGH, HBM, HBQ1, HPS1, HPS1, PBX1, PTMS, SHARPIN, SLC25A39, ST6GALNAC4, ST6GALNAC4, TMEM86B, UBL7, UBXD1"
M13.31,TBD,25,"1704961, 1711899, 2411915, 1652198, 2267914, 1708486, 1801584, 1660663, 2279635, 1667112, 2208158, 1807833, 1765701, 1676503, 1732313, 1665736, 1737586, 1661366, 1698323, 1687887, 2287888, 2395389, 1813795, 1710543, 2276952, 1805535, 1675844","ACTG1, ANXA2, ATG4B, CCM2, CD68, CNN2, CXCR4, DYRK1A, EIF4G2, FBXO7, GTF2IP1, HM13, LOC399942, LOC643446, LOC647195, LOC648024, LOC653994, PGAM1, PLEKHB2, PSMC4, PSMC4, PSMC4, RASSF5, SLC39A3, TSC22D3, VRK3, WDR1"
M13.32,Cell Cycle,30,"1815184, 1684217, 2349459, 2202948, 1727055, 1786125, 2374425, 2412384, 1747911, 1670238, 1666305, 1716279, 1747016, 1664630, 1749829, 1781942, 2409220, 1794539, 2143155, 1808071, 2222008, 2413898, 2412860, 2212909, 1751444, 2409298, 2196984, 1740291, 1670353, 1678669, 1806037, 2362549","ASPM, AURKB, BIRC5, BUB1, C12ORF48, CCNA2, CCNE1, CCNE2, CDC2, CDC45L, CDKN3, CENPE, CEP55, CHEK1, DLG7, HMMR, HMMR, KIF11, KIF11, KIF14, KIFC1, MCM10, MCM4, MELK, NCAPG, NUSAP1, OIP5, POLQ, RAD51AP1, RRM2, TK1, ZWINT"
M14.10,TBD,28,"2226324, 1661945, 1713892, 1798659, 2375825, 1810334, 1743432, 1803953, 1763147, 1711314, 2055156, 1744713, 1748438, 1666409, 1681591, 2313730, 1787026, 1712400, 1700695, 1809488, 1660186, 2143148, 2213558, 1716816, 1809467, 1800612, 1739946, 1694466","BRP44L, C14ORF156, C4ORF34, CCDC28A, CD37, COMMD7, DGUOK, LOC388789, NDUFB6, NUDT5, PAG1, PARK7, POLR2G, PSMB6, PTPN1, RHOC, SEC61G, SERPINB6, SLC44A1, SPCS2, SYF2, TM2D1, TMED10P, TMEM87A, VAMP5, VBP1, VKORC1, ZBED1"
M14.11,TBD,28,"2329958, 2213297, 1695853, 1772677, 1756572, 2380967, 1759801, 2347807, 1728799, 1794187, 2403946, 1703558, 1903159, 1702168, 1811574, 1771019, 1802082, 1702837, 2368971, 1800975, 1701434, 1733875, 1749521, 2159322, 1685369, 2157951, 1709750, 1651346","ABI1, C11ORF54, CLK4, CNOT4, COQ2, DNASE1L1, DPP8, EXOC1, FBP1, FBXL3, FEZ2, FHL3, HS.130036, HSD17B12, MAPK8IP3, MTMR4, PRDM8, PSMD1, PSMD12, PSME3, RAP1B, RUNDC1, SLC35E3, SLK, SLU7, STX6, SUSD1, TICAM2"
M14.12,TBD,26,"2066124, 2365686, 1745772, 1793724, 2380588, 1666364, 1670901, 1858599, 2119224, 1809040, 1797181, 1774547, 1719543, 1742544, 1712452, 1676980, 1675266, 1773760, 2397954, 2337974, 1737398, 1683888, 1653709, 1770977, 2340721, 1689704, 1727692","AFG3L2, ALG8, ASCC3, C3ORF31, C6ORF108, COQ10A, COX10, HS.20255, KIFAP3, LDLRAP1, LOC93622, M-RIP, MAF, MEF2C, MPHOSPH1, MTSS1, NAGPA, PAICS, PARP3, PKIA, PTPLAD1, SRP72, TIMM9, TMEM134, TMEM134, TMEM5, TRIT1"
